book_id,title,author,average_listing,isbn,num_pages,publication_date,publisher
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand//Nathaniel Branden,3.51,451163931,176,01-11-1964,Signet
667,Anthem,Ayn Rand,3.63,452281253,105,01-12-1999,NAL
668,We the Living,Ayn Rand//Leonard Peikoff,3.91,451187849,464,01-01-1996,Signet
669,Capitalism: The Unknown Ideal,Ayn Rand//Nathaniel Branden//Alan Greenspan//Robert Hessen,3.88,451147952,340,15-07-1986,Signet
670,Letters of Ayn Rand,Ayn Rand//Michael S. Berliner//Leonard Peikoff,3.96,452274044,681,01-02-1997,NAL
672,Sailing for Dummies,J.J. Isler//Peter Isler,3.95,471791431,416,01-06-2006,For Dummies
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,553803816,368,25-07-2006,Delacorte Press
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,375755195,192,17-09-2002,Random House Trade Paperbacks
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,1592283195,286,01-04-2004,Lyons Press
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,975599518,571,01-01-2004,Alliance Publishing
698,Digging to America,Anne Tyler,3.55,307263940,277,02-05-2006,Alfred A. Knopf
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo//Bonnie Lisle,3.77,312405545,826,21-01-2004,Bedford Books
703,The Plot Against America,Philip Roth,3.77,1400079497,391,27-09-2005,Vintage International
707,Naked Pictures of Famous People,Jon   Stewart,3.59,688171621,164,22-09-1999,Dey Street Books
759,Collected Stories,Gabriel García Márquez//Gregory Rabassa//J.S. Bernstein,4.19,60932686,352,13-05-2008,Harper Perennial Modern Classics
